,code,Serious Mental Illness,Any Mental Illness,Received Mental Health Services ,Had Serious Thoughts of Suicide,Major Depressive Episode ,State
0,AL,4.23,18.47,12.98,3.57,6.66,Alabama
1,AK,4.53,20.01,13.54,5.15,7.39,Alaska
2,AZ,4.04,17.52,11.87,4.01,6.03,Arizona
3,AR,5.45,21.02,15.54,4.47,8.13,Arkansas
4,CA,3.61,17.15,11.59,3.96,6.04,California
5,CO,4.61,20.05,15.86,4.88,7.62,Colorado
6,CT,3.59,18.0,17.05,3.76,6.84,Connecticut
7,DE,4.23,17.71,15.06,4.35,6.52,Delaware
9,FL,3.56,17.3,12.75,3.34,6.12,Florida
10,GA,4.17,17.74,12.03,3.94,6.72,Georgia
11,HI,3.18,15.55,9.03,3.79,5.37,Hawaii
12,ID,4.98,21.62,16.64,4.84,7.62,Idaho
13,IL,3.74,15.73,13.64,3.89,5.62,Illinois
14,IN,4.93,19.95,15.36,4.58,7.69,Indiana
15,IA,3.93,17.72,16.75,3.94,6.69,Iowa
16,KS,4.37,18.17,14.2,4.72,7.21,Kansas
17,KY,5.25,22.08,17.94,5.08,7.55,Kentucky
18,LA,4.53,17.31,13.35,4.24,6.49,Louisiana
19,ME,4.35,17.62,19.37,3.74,7.21,Maine
20,MD,3.41,16.59,13.66,3.82,6.71,Maryland
21,MA,4.32,19.34,18.86,3.97,7.48,Massachusetts
22,MI,4.44,17.33,16.12,3.91,6.84,Michigan
23,MN,4.25,18.24,19.08,4.15,7.02,Minnesota
24,MS,3.92,17.49,11.98,3.78,6.04,Mississippi
25,MO,4.17,18.03,15.7,3.47,6.99,Missouri
26,MT,5.34,20.57,16.48,5.29,7.79,Montana
28,NE,4.17,18.39,15.93,4.42,6.96,Nebraska
29,NV,4.21,18.33,11.63,4.29,7.35,Nevada
30,NH,5.07,19.36,20.72,5.01,7.98,New Hampshire
31,NJ,3.57,15.5,12.67,3.58,6.13,New Jersey
32,NM,4.43,19.19,12.95,4.28,6.71,New Mexico
33,NY,4.08,17.54,14.47,3.94,6.68,New York
34,NC,4.72,18.98,16.01,4.23,7.07,North Carolina
35,ND,4.03,17.06,14.48,4.17,6.8,North Dakota
36,OH,5.13,19.72,16.5,4.47,7.85,Ohio
37,OK,4.6,18.93,15.13,3.77,7.5,Oklahoma
38,OR,5.19,22.61,17.52,5.07,7.89,Oregon
39,PA,4.2,18.76,16.35,4.41,6.83,Pennsylvania
40,RI,4.24,19.23,18.96,4.49,7.23,Rhode Island
41,SC,3.98,18.12,14.42,3.73,6.52,South Carolina
42,SD,4.12,17.83,14.95,3.82,6.86,South Dakota
43,TN,4.98,19.63,15.1,4.55,7.06,Tennessee
44,TX,3.26,16.04,10.97,3.51,5.68,Texas
45,UT,5.2,22.27,15.72,5.62,7.78,Utah
46,VT,5.32,20.85,20.39,5.48,7.6,Vermont
47,VA,4.6,19.96,16.54,3.96,7.94,Virginia
48,WA,4.8,20.72,16.37,4.73,7.68,Washington
49,WV,5.18,20.9,17.01,4.31,8.26,West Virginia
50,WI,4.24,18.51,16.07,4.41,6.74,Wisconsin
51,WY,4.62,19.46,13.98,4.14,7.54,Wyoming
